,Key,Topic,Substance,Class,Document
8492,14_mitragyna speciosa,14,mitragyna speciosa,Depressant / sedatives,drunk or cocky imagine the pleasant body buzz of weed without the psychedelic high or time distortions imagine the heightened empathy and bliss of mdma without your entire body that kratom
8493,28_methadone,28,methadone,Depressant / sedatives,point everything i heard was faded so much i could barely hear anything . as time progressed the pill i munched started to take effect intensifiying everything . now i could
8494,2_2c-b,2,2c-b,Serotonergic psychedelics,extremely happy and satisfied hearing the tunes . i started to notice my visuals were rapidly becoming less intense and by i had completely come down . s seemed to still
8495,11_mitragyna speciosa,11,mitragyna speciosa,Depressant / sedatives,is exactly minutes since the last entry but this seems to be coming up really fast . verrrry relaxed . by golly they were right about this stuff this is fantastic
8496,21_methadone,21,methadone,Depressant / sedatives,all of a sudden i felt a total disconnection from my body . breathing was short and sharp . i went into a dream and i wanted to wake up but
8497,28_methadone,28,methadone,Depressant / sedatives,. i forgot that my friend had told me these pills get more intense over time i walked home and told my roommate how i was feeling and he said he
8498,46_mitragyna speciosa,46,mitragyna speciosa,Depressant / sedatives,it . the warm feeling is slightly increasing and i also feeling relaxed . it time to listen to some coldplay and massive t i defenitavely feeling some of the warm
8499,52_2c-b,52,2c-b,Serotonergic psychedelics,was very visually stimulating and easy to process . i felt as if i was quicker to identify themes and symbolism during the movie and occasionally dwelled on the ideas and
8500,79_mitragyna speciosa,79,mitragyna speciosa,Depressant / sedatives,to psychoactive substances . i tend to keep dosing until i either run out or pass out . i used to eat tramadol like candy going through a bottle of pills
8501,13_mitragyna speciosa,13,mitragyna speciosa,Depressant / sedatives,with a preference towards mood effects i chose to divide this section into portions of time because after reviewing my notes at DATE DATE DATE DATE DATE the most distinct patterns
8502,0_2c-b,0,2c-b,Serotonergic psychedelics,she appeared to vibrate and images of her would flash on either side of her rapidly causing a glowing aura kind of visual . eye visuals were not very intense or
8503,11_methadone,11,methadone,Depressant / sedatives,digits . i been sitting in my chair continuously for the last minutes and the longer i was sitting in the chair the more sedated and number i started to feel
8504,66_mitragyna speciosa,66,mitragyna speciosa,Depressant / sedatives,that developed both mentally and physically . the buzz became a haze one that allowed time to slip by quickly episodes of shows to pass without me catching more than a
8505,60_methadone,60,methadone,Depressant / sedatives,. i shure it going to be even better and stay with me for a long long t i just took a shower and wow that felt good it felt like
8506,14_mitragyna speciosa,14,mitragyna speciosa,Depressant / sedatives,errors found but there was clearly a reason i felt inclined to move a little slower and review things more closely . this is true of work and cannabis for me
8507,4_mitragyna speciosa,4,mitragyna speciosa,Depressant / sedatives,beyond that . my friend said he feel anything different . another minutes or so passed and he was a bit more smiley than normal . i asked him if he
8508,82_mitragyna speciosa,82,mitragyna speciosa,Depressant / sedatives,my coffee machine and arranging all the parts out neatly . it was a pretty long process lots of unscrewing and changing screwdriver heads and all . perhaps the whole thing
8509,14_mitragyna speciosa,14,mitragyna speciosa,Depressant / sedatives,extra amount in addition to that . i wanted the effects to get a while passed and we decided to vape some weed . i really feel much of anything at
8510,14_mitragyna speciosa,14,mitragyna speciosa,Depressant / sedatives,that i was my friend helped himself to more of my weed . my skin slowly started to feel warm in a strange way . it felt hot almost enough to
8511,46_methadone,46,methadone,Depressant / sedatives,warm but then it gets too hot and i have to get up . i pace my room listening to music and smoking filled with melancholy . DATE DATE DATE after
8512,101_mitragyna speciosa,101,mitragyna speciosa,Depressant / sedatives,of kratom said to try a gram or two . that weekend i had spare time and skipping breakfast first thing DATE morning i drank of powder in a few ounces
8513,23_2c-b,23,2c-b,Serotonergic psychedelics,each side of it and swirl around in the smoke . i then wondered if fast motion in front of me would blur . i asked s to stand up and
8514,42_methadone,42,methadone,Depressant / sedatives,up to take care of myself to take some vitamins use the bathroom . i slowly slowly eased into an upright position and put my feet on the floor . waves
8515,2_mitragyna speciosa,2,mitragyna speciosa,Depressant / sedatives,the blankets . there is a slight rising feeling to this meaning the strength is slowly increasing . music sounds extra wholesome but grab my attention yet . rather it is
8516,37_methadone,37,methadone,Depressant / sedatives,as high as when i fallen asleep . it was still dark outside . the clock read had i only slept hours i looked closer . pm . i had slept
8517,56_methadone,56,methadone,Depressant / sedatives,personal use . i had read that the effects can hang on for quite a long time between and hours depending on dose so i waited until DATE DATE rolled around
8518,87_mirtazapine,87,mirtazapine,Antidepressants / antipsychotics,distressing thoughts and symptoms that had become a part of my life until a very long time after it first emerged DATE in my case . this was because of my
8519,14_methylphenidate,14,methylphenidate,Stimulants,room and the tv . i must have smoked at least cigarettes between the starting time and now . i am telling you that this drug made me feel so passionately
8520,3_methylphenidate,3,methylphenidate,Stimulants,our attitudes . we are patient and more willing to accommodate each placeholder moves so slowly if you stay busy . i feel as if i have so much to do
8521,37_methoxetamine,37,methoxetamine,Dissociative psychedelics,is really at its best in the morning its at its strongest and most sparkly shortly after sleep for she arrived an hour late cause she had to work unexpectedly in
8522,38_methoxetamine,38,methoxetamine,Dissociative psychedelics,arrangement of ORG the since i told PERSON it has a similar aura to . shortly thereafter he once he was gone i spent some placeholder conceptualizing all of the data
8523,6_methylphenidate,6,methylphenidate,Stimulants,a load of laundry or excercise . maybe if i was high on it full time i would be such a worthless negative decrease in appetite . can cause nausea if
8524,14_methoxetamine,14,methoxetamine,Dissociative psychedelics,match turned out to be fairly one sided but i think the cannabis made any long term planning for impossible . after our last game we both stumbled to day present
8525,7_methoxetamine,7,methoxetamine,Dissociative psychedelics,and invited it back . you wo really miss the desire because it will no longer be there . i wo tell you PERSON PERSON is but in DATE DATE DATE
8526,43_methylphenidate,43,methylphenidate,Stimulants,theft auto and i could figure out what was going on . my hands were steady and my vision was laggy . everything i saw was delayed and did match up
8527,78_2c-b,78,2c-b,Serotonergic psychedelics,tied to the back of said ship is like guiding a submarine through the water slow and steady going wherever you like . visuals are quite nice . patterns on the
8528,38_methoxetamine,38,methoxetamine,Dissociative psychedelics,how redosing on ORG . is almost pointless i decided to . it . real quick my first . of it was . my experience was like this i was sitting
8529,2_2c-b,2,2c-b,Serotonergic psychedelics,happened the next minutes i rememebr hearing a loud buzzing that got really loud real fast then back down again from a wisper to a jet engine by my face .
8530,38_methoxetamine,38,methoxetamine,Dissociative psychedelics,bit more research about ORG i read that it lowers the breathing and the heart rate of the user in contrast to ketamine which raises the heart rate and does affect
8531,56_methylphenidate,56,methylphenidate,Stimulants,DATE DATE DATE . the comedown would be quite unpleasant but uncomparably weaker and generally shorter than that of amphetamine or for that matter any other stimulants and would be easily
8532,13_methylphenidate,13,methylphenidate,Stimulants,thought to myself this is the ultimate chance i do need mph DATE DATE . time for a tolerance break . so DATE DATE DATE i was clean of mph .
8533,45_methoxetamine,45,methoxetamine,Dissociative psychedelics,for DATE and possibly forever i doing my best to enjoy every moment of the fast forward to i being moved by spirits i dancing in a way that i can
8534,63_methylphenidate,63,methylphenidate,Stimulants,ritalin on and off since i was . at first i preferred adderall but over time it just makes me agitated and i ca focus despite the motivation to do things
8535,32_methoxetamine,32,methoxetamine,Dissociative psychedelics,made lsd look like skittles . i would have hugely involved experiences such as the time i was contacted by a machine intelligence that had achieved omnipotence and wanted to share
8536,28_methylphenidate,28,methylphenidate,Stimulants,i took the pill and i still feel it . my heart beat is fairly rapid wow still am feeling the same effects this is lasting alot longer than expected .
8537,10_methoxetamine,10,methoxetamine,Dissociative psychedelics,i had drunk a bit throughout the night but would consider myself in any way time dose roughly insufflated decided with a less experienced drug user female . nothing much happened
8538,34_methylphenidate,34,methylphenidate,Stimulants,came from transdermal patches the other came from three orally administered capsules . age at time of experience in DATE DATE DATE previous experiences a lot of marijuana nutmeg fresh and
8539,32_2c-b,32,2c-b,Serotonergic psychedelics,agreed . ' i actually think i preferred it to lsd ' a added . duration is just right . knowing i be back to baseline in a few hours if
8540,106_methylphenidate,106,methylphenidate,Stimulants,am not totally sure going to remember everything in the morning so going keep this long to help with that issue experience so i am going to try to be as
8541,35_methoxetamine,35,methoxetamine,Dissociative psychedelics,not only for dosing us so heavily but for not even telling us ahead of time that he was giving us a dose four times the size of the one the
8542,13_methoxetamine,13,methoxetamine,Dissociative psychedelics,my first hard loop regarding having to work at DATE DATE DATE it about real time at this point . my work schedule is in a spreadsheet in my email and
8543,36_methylphenidate,36,methylphenidate,Stimulants,no desire for food at all . at there enjoying myself let me tell you time flies by really fast . i decided to do homework homework was actually fun to
8544,102_methylphenidate,102,methylphenidate,Stimulants,mg of ritalin at ORG in college class . i felt the onset instantly heart rate went up floaty sensation palms sweating . this is very similar to cocaine but no
8545,13_methoxetamine,13,methoxetamine,Dissociative psychedelics,is a television quiz programme dealing largely with word puzzles . it features a large clock which counts down a thirty second interval which was quite terrifying despite its mundane description
8546,50_methoxetamine,50,methoxetamine,Dissociative psychedelics,would complement the experience and so i proceeded to take a small hit from the passing bong . then i sat and within minutes i felt a little buzzed as in
8547,14_methylphenidate,14,methylphenidate,Stimulants,very far from the subject i am attempting to report on . i have a long history of substance abuse . started with weed when i was and quickly blossomed into
8548,24_methoxetamine,24,methoxetamine,Dissociative psychedelics,the way of that i took from you so in that way you are no longer a virgin . as it dawned on me what had happened i laughed not in
8549,8_methylphenidate,8,methylphenidate,Stimulants,a few more chances to take them and loved how i felt yet no ok time went on i got married young stopped doing drugs and gave birth to a daughter
8550,8_methylphenidate,8,methylphenidate,Stimulants,be . i definitely do it again but next placeholder i like to take more time for introspection and deep as with all drugs if you gon na take PERSON recreationally
8551,101_methylphenidate,101,methylphenidate,Stimulants,enough after it dry scrape up and enjoy . there is a very low loss rate as far as i know i have no way of quantifying the end product except
8552,63_methylphenidate,63,methylphenidate,Stimulants,ritalin and adderall . i agreed and told the doctor i had trouble concentrating for long periods of time did have much motivation and some other basic symptoms i knew were
8553,6_methoxetamine,6,methoxetamine,Dissociative psychedelics,though i still feel outrageously nauseous . i still in an but i am no longer blacked out . i had my friends help walk me back into my living room
8554,14_methylphenidate,14,methylphenidate,Stimulants,. i had increased body temperature initially and temporarily . my blood pressure and heart rate increased twofold despite liquor and marijuana . i am also a smoker and noted i
8555,14_methoxetamine,14,methoxetamine,Dissociative psychedelics,a spliff and went into the worst paranoia trip i have been in in a long time and it was horrible . i would not recommend this stuff with cannabis .
8556,10_methylphenidate,10,methylphenidate,Stimulants,something i would do freed myself of a nasty hangover or we shall see in time now i believe going to post this possibly incomplete i have yet to decide yet
8557,10_methoxetamine,10,methoxetamine,Dissociative psychedelics,hangover was not pleasurable at all . ORG seems to not build up tolerance very quickly but i would strongly not advise mxe binges even in low doses of course if
8558,48_methylphenidate,48,methylphenidate,Stimulants,did feel something vaguely resembling a very weak coke high but it did last very long and i was overall disappointed though not exactly surprised . mild euphoria that lasted less
8559,39_2c-b,39,2c-b,Serotonergic psychedelics,in bold colours the paint running and melting slightly . the whole world began to slowly sway back and forth objects melted if stared at for long enough . trees looked
8560,8_methylphenidate,8,methylphenidate,Stimulants,is i never done more drugs in my life . i been lost for so long . and this is all i found . and its the only way to ever
8561,11_methoxetamine,11,methoxetamine,Dissociative psychedelics,can only approximate at one and a half hours . i lost my sense of time though i could still read the clock and figure it out . unlike when high
8562,48_methylphenidate,48,methylphenidate,Stimulants,definitively here nothing interests me and all seems more boring than usual i just want time to pass by but i keep thinking PERSON is in fact way better than cocaine
8563,48_methylphenidate,48,methylphenidate,Stimulants,most i would want at once i would consider it a of high lasts much longer than iv coke but still begins wearing off after minutes or so leaving me wanting
8564,28_methylphenidate,28,methylphenidate,Stimulants,adult attention deficit hyperactive disorder . i laughed and took the pills anyway for a long time i would just give them away to friends or throw them away but then
8565,47_methylphenidate,47,methylphenidate,Stimulants,effects wore off about to minutes the nice thing about the whole experience being so short was that i could do it at night without it drastically affecting my sleep .
8566,31_methoxetamine,31,methoxetamine,Dissociative psychedelics,i realised that the peak was coming to an end the from there was quite rapid which i quite liked . at i was happy to leave it behind and go
8567,2_methoxetamine,2,methoxetamine,Dissociative psychedelics,at all though the playing was getting very squidgy and the relationship between music and time somewhat elastic the time was at about at this point and i was becoming aware
8568,-1_mimosahuasca,-1,mimosahuasca,Serotonergic psychedelics,make slight movement in my vision i was any less anxious about my first real fast forward DATE doing my second pull on the mhrb and decide to scrape a bit
8569,43_mimosahuasca,43,mimosahuasca,Serotonergic psychedelics,. all this placeholder my vision is doing the vertigo dolly zoom thing and i quickly shut my eyes partly because scared and partly because my years of training and research
8570,-1_mimosahuasca,-1,mimosahuasca,Serotonergic psychedelics,headlights looking around for anything to tie me to reality as things settled down i slowly realised i was back and things were solidly themselves all in all i know if
8571,-1_mimosahuasca,-1,mimosahuasca,Serotonergic psychedelics,to get some effects but just to be careful i decided to do it very slowly to be sure there will not be allergic reaction or something bad in my stomach
8572,-1_mimosahuasca,-1,mimosahuasca,Serotonergic psychedelics,and witnessed the birth of the universe . m meanwhile had apparently stepped outside of time and been let in on cosmic during his trip . i continue to be amazed
8573,-1_mimosahuasca,-1,mimosahuasca,Serotonergic psychedelics,then take another tiny dose less than the first placeholder again after minutes i felt short dizziness . i waited minutes and then take another tiny dose less than the first
8574,-1_mimosahuasca,-1,mimosahuasca,Serotonergic psychedelics,then take another tiny dose less than the first placeholder again after minutes i felt short dizziness . i was not sure if i got some effect or not something felt
8575,41_methoxetamine,41,methoxetamine,Dissociative psychedelics,pressure on the eyes . depending on the amount taken this pressure will either increase rapidly as i feel more removed from the environment or it will gradually increase and slight
8576,6_mimosahuasca,6,mimosahuasca,Serotonergic psychedelics,it bother me too much but i decided to make myself dinner . i ate slowly afraid that there will be some reaction in my stomach . everything was after that
8577,44_mimosahuasca,44,mimosahuasca,Serotonergic psychedelics,small i not feel the horrible taste described by other after minutes i felt some short dizziness and got scared a bit i drunk water to relax and realized that this
8578,9_methoxetamine,9,methoxetamine,Dissociative psychedelics,i was able to observe the room from a fuller perspective . i could no longer concentrate on what people were saying and much of my responses started to make little
8579,10_methoxetamine,10,methoxetamine,Dissociative psychedelics,can of malt liquor for me to drink . i finished it at a leisurely pace and started playing . before the end of the game i was feeling happy silly
8580,53_mimosahuasca,53,mimosahuasca,Serotonergic psychedelics,made in my kitchen hoping nothing bad would happen . my heart was beating so fast and i could barely hold the pipe without shaking it i was so nervous .
8581,20_mimosahuasca,20,mimosahuasca,Serotonergic psychedelics,how difficult it was i took two crappy hits and realized i had taken too long . i messed up and got a very weak disorientation i felt sleepy and stoned
8582,110_mimosahuasca,110,mimosahuasca,Serotonergic psychedelics,on my bed again using only about the size of a pea . in my hasty lighting i believe i burned up too much of the dmt because what i experienced
8583,10_methoxetamine,10,methoxetamine,Dissociative psychedelics,drunk feeling . mind still cognitively in control not trailing anywhere . seriously spinning and slow head i stumbling over my words and speaking has become a difficulty . not all
8584,9_mimosahuasca,9,mimosahuasca,Serotonergic psychedelics,myself . i set down the pipe laid back and closed my i began seeing fast moving patterns that transformed into clear but rapidly changing pictures birthday cakes shapes silly faces
8585,17_mimosahuasca,17,mimosahuasca,Serotonergic psychedelics,a tricycle a streetbike blue bike small motorized everything . i would look at a clock it would be neon digital a coo coo clock all constantly changing . i decided
8586,33_mimosahuasca,33,mimosahuasca,Serotonergic psychedelics,to go numb something huge closing in but i persevered and took a third before passing him the nearly cashed bowl . immediately it hit me hard and my first thought
8587,47_methoxetamine,47,methoxetamine,Dissociative psychedelics,unfortunately lasting benefits were not evident apart from that the experience was pretty remarkable fairly slow onset for me minutes led to as follows t minutes t minutes t minutes t
8588,9_methoxetamine,9,methoxetamine,Dissociative psychedelics,the aureate blue of the zenith . it felt to me as if a very long time had passed since ingestion i was surprised to discover that this was not the
8589,29_mimosahuasca,29,mimosahuasca,Serotonergic psychedelics,with a thin layer of water . boil water in a kettle allow steam to pass and add super hot water to seed dish to raise water level four fold .
8590,14_mirtazapine,14,mirtazapine,Antidepressants / antipsychotics,i am getting a helluva lot more stoned but it also taking me a lot longer for the cannabis to work its way out of my system . the combination makes
8591,14_mirtazapine,14,mirtazapine,Antidepressants / antipsychotics,down . been smoking dope regularly for over DATE and dropping hallucinogens for almost as long but have not been whacked out like this on a small quantity of decent weed
8592,62_mirtazapine,62,mirtazapine,Antidepressants / antipsychotics,tried to stay awake for about hours before i finally just could stay awake any longer . i had been feeling like crap for DATE DATE DATE DATE hardly able to
8593,5_methoxetamine,5,methoxetamine,Dissociative psychedelics,the first and most enduring of the trip was accompanied by an increase in heart rate to quite frenetic levels . of course that physiological change might have been illusory but
8594,55_mimosahuasca,55,mimosahuasca,Serotonergic psychedelics,of somewhat euphoric not so much the sense of guides or others white ultra very fast coming on overwhelmingly experiencing of true everything in it perfect place and plastic sharp edges
8595,50_mimosahuasca,50,mimosahuasca,Serotonergic psychedelics,wait a second for it to cool before dabbing and i start inhaling just as long and slow then she takes the bong to heat the nail up again and i
8596,20_mimosahuasca,20,mimosahuasca,Serotonergic psychedelics,hold the hit in until she hands it back to me and again i inhale long slow and deep . i feel light headed by the placeholder i even start the
8597,35_methoxetamine,35,methoxetamine,Dissociative psychedelics,and may cause acute cerebellar toxicity at such dosages and acute and chronic cystitis after prolonged exposure to recreational dosages absolutely . so i dosed . and dosed again . i
8598,1_mimosahuasca,1,mimosahuasca,Serotonergic psychedelics,the exhale . i sit back with my eyes shut . this does not last long the euphoria is so intense it a little scary . it feels as if every
8599,3_methoxetamine,3,methoxetamine,Dissociative psychedelics,explain my actions i would have a really hard placeholder . damn this shit works fast and hard still weird and my friends laugh at me pretty much every minutes because
8600,58_methylphenidate,58,methylphenidate,Stimulants,which is what usually prompts me to do schoolwork rather i just wanted to accomplish time at this point i am writing my paper and i really enjoy it . i
8601,15_methoxetamine,15,methoxetamine,Dissociative psychedelics,halfway there . some feeling of disconnection with small parts off the normal reality like time and distances that did seem to act very logical . now bear in mind that
8602,102_methoxetamine,102,methoxetamine,Dissociative psychedelics,tried methoxetamine . i was a bit at first but then theses sensations are gone quickly . methoxetamine could have some serious health benefits but i could notice that addiction could
8603,89_2c-b,89,2c-b,Serotonergic psychedelics,visuals but shamanic experiences exactly what i was looking for . i had a fabulous time at the retreat met lots of new people and made some very good it was
8604,19_methylphenidate,19,methylphenidate,Stimulants,insomnia after the rush and while it may not feel that bad during that hour period of no sleep it surely does not feel good on that hour . i ca
8605,47_methoxetamine,47,methoxetamine,Dissociative psychedelics,passed . i think that only hour have gone since i took the effects decreased rapidly . i baseline now i do notice any comedown except for some gaz build up
8606,102_methoxetamine,102,methoxetamine,Dissociative psychedelics,my methoxetamine seems to relief my pain and stress . i very happy that it slow my heart rate my usual heart rate when sober is bpm which is high but
8607,23_2c-b,23,2c-b,Serotonergic psychedelics,the smoke hit my lounges . i then lay back and let the next hour pass while i watch colors of red and green jump before my i started to come
8608,64_methylphenidate,64,methylphenidate,Stimulants,me . i drink coffee on regular basis to help keep myself focused during first period classes in school . i was prescribed both vicodin and oxycodone when i had my
8609,109_methoxetamine,109,methoxetamine,Dissociative psychedelics,. it was as if every sentence spoken would gradually rise in pitch until the period . simple tasks were a challenge for my mind . all cognitive functions were impaired
8610,102_methylphenidate,102,methylphenidate,Stimulants,PERSON is a stimulant prescribed to those with add or adhd which for some reason slows them down . i decided to experiment with it as an upper since i am
8611,58_methylphenidate,58,methylphenidate,Stimulants,studying or writing essays and found i could do a lot more work in a shorter amount of time . studying for my last school exams i took quite a lot
8612,56_methylphenidate,56,methylphenidate,Stimulants,up fine take the methylphenidate work for most of the afternoon and then about o clock DATE DATE become withdrawn and depressed . this lasts for about hours and is pretty
8613,3_methylphenidate,3,methylphenidate,Stimulants,and grammar i want to have uploaded that as it was it was awful well time for bed am this will truly be my final post all that i ask is
8614,51_mimosahuasca,51,mimosahuasca,Serotonergic psychedelics,product and ready to make a go at it . within DATE DATE from the time i heard of dmt and had a finished product i read countless entries of experiences
8615,3_mimosahuasca,3,mimosahuasca,Serotonergic psychedelics,feelings i remember were being in a crowded room . i plan on taking a longer break from the dmt this placeholder and will return to it when the placeholder once
8616,0_2c-b,0,2c-b,Serotonergic psychedelics,about it as i was . she said that she preferred over because of the longer duration of but more importantly she felt that took her mind much farther out perceptually
8617,82_mimosahuasca,82,mimosahuasca,Serotonergic psychedelics,from a broken glass bowl and some foil . i feel shit it evaporated really quickly . afterwards i tried to freebase it off of foil that work as well .
8618,46_methylphenidate,46,methylphenidate,Stimulants,. it is as if someone pulled the plug . i was going strong reading fast then my head starts nodding off . i need another boost because i am not
8619,59_methoxetamine,59,methoxetamine,Dissociative psychedelics,on the toilet and inserted the blunted tip . i pushed down on the plunger quickly removed the syringe and buried it deep in the trash can so no one would
8620,104_methoxetamine,104,methoxetamine,Dissociative psychedelics,the doctor did . they asked me if i knew my name . after a long moment thinking very hard i said that was the name of my partner face i
8621,70_methylphenidate,70,methylphenidate,Stimulants,paranoia but controllable talkativeness auditory enhancement maybe even auditory hallucinations altered pupils my eyes took longer to adjust to light changes like if someone takes a flash picture and you see
8622,19_mitragyna speciosa,19,mitragyna speciosa,Depressant / sedatives,to go to bed as nothing productive is happening . sleeping sleep is very comfortable long and deep at times with occasional but pleasant waking during the night . sporadic mild
8623,-1_myristica spp.,-1,myristica spp.,Stimulants,laughing i did care why it was funny it just was and downed it as quickly and painlessly as possible mans baking goods are another mans drugs ' off for about
8624,-1_myristica spp.,-1,myristica spp.,Stimulants,saw the white fuzzy common in ORG ORG i just watched at first they resembled fast growing flowers then a huge explosion i turned on a video game and pulled on
8625,-1_myristica spp.,-1,myristica spp.,Stimulants,i was still really really gone like i smoked a hefty amount of pot and passed out for an hour and woke up to a fading but still clearly intoxicated '
8626,-1_myristica spp.,-1,myristica spp.,Stimulants,minimum of hours at the ged place all over again that is if i did pass i was shitting my pants and stinkin the place up i did realize it was
8627,11_myristica spp.,11,myristica spp.,Stimulants,up skating and got another girls number nutmeg makes your day a damn good day passed a hard ass test got chicks ' numbers and went ice skating at the same
8628,-1_myristica spp.,-1,myristica spp.,Stimulants,and decided to get on with DATE DATE of happiness and love . as the long ride to mom sunk into my head snow started to fall . this triggered visuals
8629,-1_myristica spp.,-1,myristica spp.,Stimulants,orgasm of giving and receiving . my irritation level and stress were at an all time low as i gracefully ate the wonderful colorful DATE dinner . my whole body felt
8630,26_myristica spp.,26,myristica spp.,Stimulants,illegal method to mindset setting i was at home in my room alone for the duration of the experience . my mindset prior to the experience was about my average somewhat
8631,21_myristica spp.,21,myristica spp.,Stimulants,instead of really sleeping i experienced more of a dream . the ' consisted of rapidly changing rather random imagery of various things vaguely strung together in my brain attempt to
8632,3_myristica spp.,3,myristica spp.,Stimulants,mom i had to be at volley ball by six shit i made it on time to volley ball but i was only half conscious the whole placeholder it was the
8633,0_myristica spp.,0,myristica spp.,Stimulants,to come i paniced and told her i would ring her later that night and quickly hung at dinner people would ask me questions i would think about what i should
8634,6_myristica spp.,6,myristica spp.,Stimulants,m like PERSON from et ' and being really happy . but most of the time i was comatose . i feel just about ok today a bit sick and i
8635,48_myristica spp.,48,myristica spp.,Stimulants,i guess its a good crack . its not something i wd repeat in a hurry feeling stoned for hours is not a nice feeling what ever you might think and
8636,85_myristica spp.,85,myristica spp.,Stimulants,at my computer at this point and type something but i ca hold a thought long enough to concentrate on the task at hand . i then put in my favorite
8637,2_myristica spp.,2,myristica spp.,Stimulants,favorite cd sasha one of the global underground sets disc one and i decide very quickly that this trip does treat music very well . the beat is unsteady and the
8638,28_myristica spp.,28,myristica spp.,Stimulants,what the hell lets try some stress shit popped of those this is about the time i started feeling it all kick in mostly just the pills though i was sitting
8639,4_myristica spp.,4,myristica spp.,Stimulants,was flying . i lay down next to him for a while no idea how long and i could really tell what he meant . i felt like i was taking
8640,21_myristica spp.,21,myristica spp.,Stimulants,epiphanies but it was still fun to feel that way . since it lasts so long one is bound to sleep under the influence and dreams are more real and '
8641,44_myristica spp.,44,myristica spp.,Stimulants,venture and took it orally by the method of taking ' of it followed by long gulps of various liquids i tried milk orange juice and water all of them were
8642,3_myristica spp.,3,myristica spp.,Stimulants,times before with varied results the first placeholder taking far too much resulting in distorted time space and bizzare visual apparitions . this story was far better planned out though not
8643,64_myristica spp.,64,myristica spp.,Stimulants,us who get up in the afternoon . we took some caffiene to counter the time bad idea in retrospect diuretics at once is a terrible idea . erowid note driving
8644,46_myristica spp.,46,myristica spp.,Stimulants,i get this incredible head rush and feel like i going to faint . i quickly sit down while the headrush escalates as well as the buzzing noise in my head
8645,66_myristica spp.,66,myristica spp.,Stimulants,headrush escalates as well as the buzzing noise in my head . then it just slowly dies i was kind of curious at this point if this is what it going
8646,7_myristica spp.,7,myristica spp.,Stimulants,part . the bad part is it screwed with my head really bad in the long run . DATE DATE DATE i started noticing that my imagination was more vivid and
8647,122_myristica spp.,122,myristica spp.,Stimulants,is concentrated in my head . extremely intense overall almost dizzying nearly felt i would pass out or get violently ill but i was hours stoned but the peak intensity has
8648,7_myristica spp.,7,myristica spp.,Stimulants,surprised me considering how messed up i was DATE DATE before i had a few short mild and sporadic headaches that pretty much it . overall i thought the experience was
8649,10_myristica spp.,10,myristica spp.,Stimulants,different than normal . this feeling lasted for at least hours after which it very slowly began to fade away to a more normal state like the drunk feeling i had
8650,50_myristica spp.,50,myristica spp.,Stimulants,i felt like i had ripped a couple of bongs . please note that all time from now on are guessed as i had no means of telling the time .
8651,19_myristica spp.,19,myristica spp.,Stimulants,. at the very least i will come up with some bizzare starting points for short it is a good idea to fall asleep i have awoken barely . i am
8652,34_myristica spp.,34,myristica spp.,Stimulants,inhale cigarettes a bit too much . the effects last for another hours decreasing very slowly . DATE DATE DATE is even more relaxed and furthermore the bulk of the unpleasant
8653,2_myristica spp.,2,myristica spp.,Stimulants,nutmeg . i enjoyed it and went to i do remember what happened in first period i remember listening to music while finishing up carving my clay shoe in design class
8654,8_myristica spp.,8,myristica spp.,Stimulants,hard drugs . my eyes were very open and i barely blinked . my head slowly wobbled in its place with a grin on my face and a laugh ever now
8655,7_myristica spp.,7,myristica spp.,Stimulants,DATE in a narrator perspective of myself . ' i walked down the hallways to period ' shit like that i said in my mind so very annoying and i could
8656,60_myristica spp.,60,myristica spp.,Stimulants,the knobs until it was almost unbearably loud . i took a shower probably the longest in my life because it just felt that damn good . the only downside found
8657,47_myristica spp.,47,myristica spp.,Stimulants,effect lasted the full hours . you may want to keep at least this much time open if you want a good and . bad to avoid the taste i melted
8658,6_myristica spp.,6,myristica spp.,Stimulants,and also chilly feeling in my body but that may have been at another later time within the next hours i grated another whole nutmeg in a cheese grater i ended
8659,43_myristica spp.,43,myristica spp.,Stimulants,nutmeg experiences . when i looked away the afterimage was just flashy lines from the short paragraphs across the black screen this was normal but then i looked at my window
8660,11_myristica spp.,11,myristica spp.,Stimulants,quite red towards the end of the experience and i had absolutely no concept of time . in what seemed like ten minutes four hours had i recommend it to anybody
8661,37_myristica spp.,37,myristica spp.,Stimulants,of the high was fine then things started getting really weird trails PERSON PERSON of time sense and balance and i got really sick . DATE DATE DATE i slept all
8662,31_myristica spp.,31,myristica spp.,Stimulants,through the peak . my recomendation try it but make sure you have lots of time and no immediate responsabilities . i also suggest that you try it with only one
8663,22_2c-b,22,2c-b,Serotonergic psychedelics,to a blissful tranquility so unique yet so similar to aspects of mdma . more steady and not overwhelming but beautifully serene . it was at this point that i finally
8664,11_myristica spp.,11,myristica spp.,Stimulants,the wall and it says its . i freak out because i have class next period . i then remember that i moved the clock the night before and i checked
8665,27_myristica spp.,27,myristica spp.,Stimulants,remember that i moved the clock the night before and i checked again and the clock was on the table and said . that was the only true hallucination i had
8666,8_myristica spp.,8,myristica spp.,Stimulants,to other drugs but it is also unique due to the dreamlike states . the long duration low price and legality of this drug can also be motivating factors especially if
8667,9_2c-b,9,2c-b,Serotonergic psychedelics,so wildly and with so many echoes of itself that navigating the physical space was quickly becoming an impossibility . colors have never looked so beautiful and somewhat cartoony one of
